chapter,in,metadataTags,out,storyline-importance
chapter004,16364,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:10:54"",""oute"":""16703"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment036"",""shot"":""talking-heads"",""subject"":""bats""}",16704,1
chapter004,16704,"{""Chris Packham"":""TRUE"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:11:08"",""oute"":""16983"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment037"",""shot"":""aerial"",""subject"":""bats""}",16984,1
chapter004,16984,"{""Chris Packham"":""TRUE"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:11:19"",""oute"":""18102"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment038"",""shot"":""motage"",""subject"":""bats""}",18103,3
chapter004,18103,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:12:04"",""oute"":""18331"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment039"",""shot"":""archive"",""subject"":""bats""}",18332,3
chapter004,18332,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:12:13"",""oute"":""18603"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment040"",""shot"":""archive"",""subject"":""bats""}",18604,6
chapter004,18604,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:12:24"",""oute"":""19011"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment041"",""shot"":""archive"",""subject"":""bats""}",19012,3
chapter004,19012,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:12:40"",""oute"":""19195"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment042"",""shot"":""interview"",""subject"":""bats""}",19196,6
chapter004,19196,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:12:47"",""oute"":""19921"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment043"",""shot"":""bat box"",""subject"":""bats""}",19922,3
chapter004,19922,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:13:16"",""oute"":""20081"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment044"",""shot"":""bat handling"",""subject"":""bats""}",20082,10
chapter004,20082,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:13:23"",""oute"":""20944"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment045"",""shot"":""bat handling"",""subject"":""bats""}",20945,3
chapter004,20945,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:13:57"",""oute"":""21281"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment046"",""shot"":""bat handling"",""subject"":""bats""}",21282,10
chapter004,21282,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:14:11"",""oute"":""21863"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment047"",""shot"":""bat handling"",""subject"":""bats""}",21864,3
chapter004,21864,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:14:34"",""oute"":""22659"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment048"",""shot"":""bat handling"",""subject"":""bats""}",22660,6
chapter004,22660,"{""Guest"":""Mark Warne"",""Guest affiliation"":""Forestry England"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:15:06"",""oute"":""23528"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment049"",""shot"":""bat handling"",""subject"":""bats""}",23529,3
chapter004,23529,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:15:41"",""oute"":""25317"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment050"",""shot"":""talking-heads"",""subject"":""bats""}",25318,1
chapter005,25318,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:16:52"",""oute"":""25788"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment051"",""shot"":""intro"",""subject"":""terns""}",25789,1
chapter005,25789,"{""Gillian Burke"":""TRUE"",""Megan McCubbin"":""TRUE"",""elapsed"":""00:17:11"",""oute"":""27058"",""primary-topic"":""terns"",""scene"":""scene006"",""segment"":""segment052"",""shot"":""talking-heads"",""subject"":""terns""}",27059,1
