chapter,in,metadataTags,out,storyline-importance
chapter002,9105,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""consumer use"",""topics.shot"":""group"",""topics.subject"":""Next Gen Audio"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",9926,3
chapter002,9927,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""consumer use"",""topics.shot"":""group"",""topics.subject"":""Next Gen Audio"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",12494,3
chapter002,12495,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""orpheus project"",""topics.shot"":""group"",""topics.subject"":""Orpheus"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",12886,6
chapter002,12887,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""orpheus project"",""topics.shot"":""group"",""topics.subject"":""Orpheus"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",13792,10
chapter002,13793,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""orpheus project"",""topics.shot"":""group"",""topics.subject"":""Orpheus"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",14336,3
chapter002,14337,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""swiss football"",""topics.shot"":""group"",""topics.subject"":""live sport"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",19303,3
chapter002,19304,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""swiss football"",""topics.shot"":""group"",""topics.subject"":""live sport"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",19468,3
chapter002,19469,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""swiss football"",""topics.shot"":""group"",""topics.subject"":""live sport"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",21964,3
chapter002,21965,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""what is needed"",""topics.shot"":""group"",""topics.subject"":""tooling"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",22119,6
chapter002,22120,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""what is needed"",""topics.shot"":""group"",""topics.subject"":""tooling"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",22354,6
chapter002,22355,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""what is needed"",""topics.shot"":""group"",""topics.subject"":""tooling"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",23494,3
chapter002,23495,"{""Speaker"":[""Elfed Howell"",""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""what is needed"",""topics.shot"":""group"",""topics.subject"":""tooling"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",24234,3
chapter002,24235,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""adm \u0026 Sadm"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",24438,10
chapter002,24439,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""adm \u0026 Sadm"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",24589,2
chapter002,24600,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""adm \u0026 Sadm"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",24789,10
chapter002,24790,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""adm \u0026 Sadm"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",25769,6
chapter002,25770,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""adm \u0026 Sadm"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",26926,3
chapter002,26927,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""do users want it"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",27148,3
chapter002,27149,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""do users want it"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",29839,3
chapter002,29840,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""personaliszation"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",30504,3
chapter002,30505,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""personaliszation"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",32668,3
chapter002,32669,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""creatores perspective"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",33689,3
chapter002,33690,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""creatores perspective"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",35007,3
chapter002,35008,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""mixing in the cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",36370,3
chapter002,36371,"{""Speaker"":[""Johan Bolin""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""mixing in the cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",43681,3
chapter002,43682,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""timing \u0026 clocking"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",43799,3
chapter002,43800,"{""Speaker"":[""Johan Bolin""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""timing \u0026 clocking"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",44710,3
chapter002,44711,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",44993,3
chapter002,44994,"{""Speaker"":[""Lucas Zwicker""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",50013,3
chapter002,50014,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""cloud tech challenges"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",50222,3
chapter002,50223,"{""Speaker"":[""Lucas Zwicker""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""cloud tech challenges"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",53638,3
chapter002,53639,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""beyond cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",53873,3
chapter002,53874,"{""Speaker"":[""Lucas Zwicker""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""beyond cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",55126,3
chapter002,55127,"{""Speaker"":[""Johan Bolin""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""beyond cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",58550,3
chapter002,58551,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""beyond cloud"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",60055,3
chapter002,60056,"{""segment"":"""",""topics.Audience_Question"":""deutche telekom"",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""too much automation"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",60530,3
chapter002,60531,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""ml/ai"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",60696,3
chapter002,60697,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""ml/ai"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",62092,3
chapter002,62093,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.Audience_Question"":""deutche telekom"",""topics.primary"":""Next Gen Audio"",""topics.secondary"":""consumers"",""topics.shot"":""group"",""topics.subject"":""adm"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",62950,3
