chapter,in,metadataTags,out,storyline-importance
chapter007,44842,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""45297"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo"",""segment"":""segment080"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:29:53""}",45298,6
chapter007,45298,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""45700"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment081"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:30:11""}",45710,6
chapter007,45710,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""46359"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment082"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:03:02""}",46360,3
chapter007,46360,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""46924"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment083"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:30:54""}",46925,6
chapter007,46925,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""49473"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment084"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:31:17""}",49474,3
chapter007,49474,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""49830"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment085"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:32:58""}",49831,10
chapter007,49831,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""51007"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment086"",""shot"":""poster"",""subject"":""humpback whale"",""﻿elapsed"":""00:33:13""}",51008,1
chapter008,51008,"{""Leif Bersweden"":""TRUE"",""oute"":""51300"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment087"",""shot"":""botany-insert"",""subject"":""foxgloves"",""﻿elapsed"":""00:34:00""}",51301,6
chapter008,51301,"{""Leif Bersweden"":""TRUE"",""oute"":""51553"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment088"",""shot"":""botany-insert"",""subject"":""foxgloves"",""﻿elapsed"":""00:34:12""}",51554,10
chapter008,51554,"{""Leif Bersweden"":""TRUE"",""oute"":""51741"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment089"",""shot"":""botany-insert"",""subject"":""foxgloves"",""﻿elapsed"":""00:34:22""}",51742,6
chapter008,51742,"{""Leif Bersweden"":""TRUE"",""oute"":""52499"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment090"",""shot"":""botany-insert"",""subject"":""foxgloves"",""﻿elapsed"":""00:34:29""}",52500,3
chapter008,52500,"{""Leif Bersweden"":""TRUE"",""oute"":""52671"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment091"",""shot"":""botany-insert"",""subject"":""foxgloves"",""﻿elapsed"":""00:35:00""}",52672,6
chapter008,52672,"{""Leif Bersweden"":""TRUE"",""oute"":""53278"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment092"",""shot"":""botany-insert"",""subject"":""foxgloves"",""﻿elapsed"":""00:35:06""}",53279,3
chapter009,53279,"{""Megan McCubbin"":""TRUE"",""oute"":""53848"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment093"",""shot"":""talking-heads"",""subject"":""foxgloves"",""﻿elapsed"":""00:35:31""}",53849,1
chapter009,53849,"{""Megan McCubbin"":""TRUE"",""oute"":""56951"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""sound"",""segment"":""segment094"",""shot"":""bat-insert"",""subject"":""bats"",""﻿elapsed"":""00:35:53""}",56952,3
chapter009,56952,"{""Megan McCubbin"":""TRUE"",""oute"":""57519"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""ultrasound"",""segment"":""segment095"",""shot"":""poster"",""subject"":""bats"",""﻿elapsed"":""00:37:58""}",57520,10
chapter009,57520,"{""Megan McCubbin"":""TRUE"",""oute"":""57756"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""ultrasound"",""segment"":""segment096"",""shot"":""poster"",""subject"":""bats"",""﻿elapsed"":""00:38:20""}",57757,6
chapter009,57757,"{""Megan McCubbin"":""TRUE"",""oute"":""57878"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""acoustics"",""segment"":""segment097"",""shot"":""poster"",""subject"":""bats"",""﻿elapsed"":""00:38:30""}",57879,10
chapter009,57879,"{""Megan McCubbin"":""TRUE"",""oute"":""58193"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""acoustics"",""segment"":""segment098"",""shot"":""poster"",""subject"":""bats"",""﻿elapsed"":""00:38:35""}",58194,6
chapter009,58194,"{""Megan McCubbin"":""TRUE"",""oute"":""59172"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""acoustics"",""segment"":""segment099"",""shot"":""poster"",""subject"":""bats"",""﻿elapsed"":""00:38:47""}",59173,3
chapter009,59173,"{""Megan McCubbin"":""TRUE"",""oute"":""60186"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""acoustics"",""segment"":""segment100"",""shot"":""poster"",""subject"":""bats"",""﻿elapsed"":""00:39:26""}",60187,6
chapter009,60187,"{""Megan McCubbin"":""TRUE"",""oute"":""60623"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""acoustics"",""segment"":""segment101"",""shot"":""talking-heads"",""subject"":""bats"",""﻿elapsed"":""00:40:07""}",60624,3
chapter009,60624,"{""Megan McCubbin"":""TRUE"",""oute"":""61053"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""acoustics"",""segment"":""segment102"",""shot"":""link"",""subject"":""bats"",""﻿elapsed"":""00:40:24""}",61054,1
